,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,fecha_incidente_amd,fecha_fallecimiento_amd,Rango_Edad
155,2017-0014,1/28/2017,2017,1,28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22.0,1/28/2017,2017-01-28,2017-01-28,18-29
156,2017-0015,2/2/2017,2017,2,2,PEATON,PEATON,MASCULINO,82.0,2/21/2017,2017-02-02,2017-02-21,60+
157,2017-0016,2/3/2017,2017,2,3,CONDUCTOR,MOTO,MASCULINO,27.0,2/4/2017,2017-02-03,2017-02-04,18-29
158,2017-0017,2/6/2017,2017,2,6,CONDUCTOR,MOTO,MASCULINO,32.0,2/6/2017,2017-02-06,2017-02-06,30-39
159,2017-0018,2/9/2017,2017,2,9,CONDUCTOR,MOTO,MASCULINO,30.0,2/9/2017,2017-02-09,2017-02-09,30-39
160,2017-0021,2/18/2017,2017,2,18,CONDUCTOR,MOTO,MASCULINO,43.0,2/18/2017,2017-02-18,2017-02-18,40-49
161,2017-0024,2/23/2017,2017,2,23,PEATON,PEATON,MASCULINO,39.0,2/23/2017,2017-02-23,2017-02-23,30-39
162,2017-0025,2/24/2017,2017,2,24,CONDUCTOR,MOTO,MASCULINO,23.0,2/24/2017,2017-02-24,2017-02-24,18-29
163,2017-0026,2/26/2017,2017,2,26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23.0,2/26/2017,2017-02-26,2017-02-26,18-29
164,2017-0026,2/26/2017,2017,2,26,CONDUCTOR,AUTO,MASCULINO,19.0,2/26/2017,2017-02-26,2017-02-26,18-29
165,2017-0027,2/26/2017,2017,2,26,PEATON,PEATON,MASCULINO,,2/26/2017,2017-02-26,2017-02-26,
166,2017-0028,2/28/2017,2017,2,28,PEATON,PEATON,MASCULINO,87.0,2/28/2017,2017-02-28,2017-02-28,60+
167,2017-0029,3/7/2017,2017,3,7,SD,SD,MASCULINO,34.0,3/7/2017,2017-03-07,2017-03-07,30-39
168,2017-0030,3/7/2017,2017,3,7,CONDUCTOR,AUTO,FEMENINO,27.0,3/7/2017,2017-03-07,2017-03-07,18-29
169,2017-0031,3/11/2017,2017,3,11,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70.0,3/11/2017,2017-03-11,2017-03-11,60+
170,2017-0032,3/12/2017,2017,3,12,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40.0,3/12/2017,2017-03-12,2017-03-12,40-49
171,2017-0033,3/12/2017,2017,3,12,CONDUCTOR,AUTO,MASCULINO,28.0,3/12/2017,2017-03-12,2017-03-12,18-29
172,2017-0034,3/13/2017,2017,3,13,PEATON,PEATON,MASCULINO,43.0,3/13/2017,2017-03-13,2017-03-13,40-49
173,2017-0035,3/23/2017,2017,3,23,CONDUCTOR,AUTO,MASCULINO,28.0,3/23/2017,2017-03-23,2017-03-23,18-29
174,2017-0035,3/23/2017,2017,3,23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32.0,3/23/2017,2017-03-23,2017-03-23,30-39
175,2017-0035,3/23/2017,2017,3,23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30.0,3/23/2017,2017-03-23,2017-03-23,30-39
176,2017-0036,3/29/2017,2017,3,29,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,,3/29/2017,2017-03-29,2017-03-29,
177,2017-0036,3/29/2017,2017,3,29,CONDUCTOR,MOTO,MASCULINO,20.0,3/29/2017,2017-03-29,2017-03-29,18-29
178,2017-0037,3/31/2017,2017,3,31,CONDUCTOR,MOTO,MASCULINO,41.0,3/31/2017,2017-03-31,2017-03-31,40-49
179,2017-0038,4/1/2017,2017,4,1,CONDUCTOR,MOTO,FEMENINO,40.0,4/1/2017,2017-04-01,2017-04-01,40-49
